City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Kruisfontein,ZA,-34.0033,24.7314,60.89,71,74,5.01,broken clouds
81,Acapulco,MX,16.8634,-99.8901,84.02,74,75,4.61,broken clouds
82,Albany,US,42.6001,-73.9662,57.22,78,99,1.99,overcast clouds
83,Pudozh,RU,61.8099,36.5345,41.18,97,100,4.94,overcast clouds
84,Tshikapa,CD,-6.4167,20.8,71.47,87,77,2.21,broken clouds
85,Norman Wells,CA,65.282,-126.8329,23.04,93,75,6.91,broken clouds
86,Araouane,ML,18.9048,-3.5265,86.83,17,97,10.89,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,66.43,83,79,15.39,broken clouds
88,Mount Gambier,AU,-37.8333,140.7667,54.18,70,7,3.69,clear sky
89,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.39,80,86,1.1,overcast clouds
90,Iqaluit,CA,63.7506,-68.5145,33.53,80,75,5.01,light snow
91,Ballina,AU,-28.8667,153.5667,68.77,71,100,6.49,overcast clouds
92,Bredasdorp,ZA,-34.5322,20.0403,56.28,74,100,10.42,overcast clouds
93,Okakarara,NA,-20.5833,17.4333,69.75,15,10,10.42,clear sky
94,East London,ZA,-33.0153,27.9116,65.8,82,70,12.64,broken clouds
95,Constitucion,CL,-35.3333,-72.4167,56.37,81,93,3.13,overcast clouds
96,Salalah,OM,17.0151,54.0924,73.49,56,0,2.3,clear sky
97,Dingle,PH,10.9995,122.6711,75.04,91,95,7.58,overcast clouds
98,Saskylakh,RU,71.9167,114.0833,9.01,96,98,6.06,overcast clouds
99,Kirensk,RU,57.7853,108.1119,32.47,90,100,3.69,overcast clouds
100,Sola,VU,-13.8833,167.55,80.64,74,20,14.38,few clouds
101,Almeirim,BR,-1.5233,-52.5817,84.09,62,79,4.36,broken clouds
102,Hithadhoo,MV,-0.6,73.0833,82.31,76,100,18.54,overcast clouds
103,Vanavara,RU,60.34,102.2797,22.95,70,100,4.65,overcast clouds
104,Kununurra,AU,-15.7667,128.7333,78.78,78,25,5.75,scattered clouds
105,Athabasca,CA,54.7169,-113.2854,42.49,30,0,2.86,clear sky
106,Karasjok,NO,69.4719,25.5112,24.91,97,100,3.85,overcast clouds
107,Cleethorpes,GB,53.5605,-0.0323,50.99,71,66,26.46,broken clouds
108,Ushuaia,AR,-54.8,-68.3,53.26,54,0,9.22,clear sky
109,Launceston,AU,-41.45,147.1667,57.61,73,27,5.99,scattered clouds
110,Avarua,CK,-21.2078,-159.775,77.05,69,40,19.57,light rain
111,Bilma,NE,18.6853,12.9164,80.26,22,1,9.98,clear sky
112,Cidreira,BR,-30.1811,-50.2056,68.14,87,7,21.63,clear sky
113,Samarai,PG,-10.6167,150.6667,83.26,78,94,15.77,overcast clouds
114,Mumbwa,ZM,-14.9783,27.0619,74.77,41,44,4.92,scattered clouds
115,Ginir,ET,7.1333,40.7,58.66,66,70,6.71,broken clouds
116,Ihosy,MG,-22.4,46.1167,66.2,89,70,1.77,broken clouds
117,Severnoye,RU,56.3491,78.3619,17.89,94,74,5.91,broken clouds
118,Dicabisagan,PH,17.0818,122.4157,76.87,86,66,6.89,broken clouds
119,Portland,US,45.5234,-122.6762,65.21,40,20,1.99,few clouds
120,Mykolayiv,UA,46.9659,31.9974,43.99,87,0,6.46,clear sky
121,Broome,US,42.2506,-75.833,55.89,81,90,1.01,overcast clouds
122,Yurimaguas,PE,-5.9,-76.0833,91.56,51,40,3.44,scattered clouds
123,Turan,VN,16.0678,108.2208,76.98,94,40,0.0,scattered clouds
124,Fayetteville,US,35.0527,-78.8784,70.25,57,1,1.99,clear sky
125,Castro,BR,-24.7911,-50.0119,59.22,98,97,5.48,overcast clouds
126,Bengkulu,ID,-3.8004,102.2655,76.17,88,100,4.38,overcast clouds
127,Hualmay,PE,-11.0964,-77.6139,66.69,76,10,10.0,clear sky
128,Damaturu,NG,11.747,11.9608,81.21,20,63,7.36,broken clouds
129,Diffa,NE,13.3154,12.6113,84.45,17,35,10.13,scattered clouds
130,Chuy,UY,-33.6971,-53.4616,65.61,94,38,8.57,scattered clouds
131,Carnarvon,AU,-24.8667,113.6333,66.27,72,75,18.41,broken clouds
132,Port Elizabeth,ZA,-33.918,25.5701,63.1,94,0,5.75,clear sky
133,Muli,MV,2.9167,73.5667,82.58,77,40,20.2,scattered clouds
134,Ribeira Grande,PT,38.5167,-28.7,70.81,90,100,8.48,overcast clouds
135,Mar Del Plata,AR,-38.0023,-57.5575,56.08,86,90,4.0,light intensity shower rain
136,Malakal,SS,9.5334,31.6605,79.21,59,50,2.75,scattered clouds
137,Mach,PK,29.8637,67.3298,62.4,26,0,11.34,clear sky
138,Roebourne,AU,-20.7833,117.1333,71.28,66,0,5.32,clear sky
139,Lewistown,US,40.5992,-77.5714,57.42,78,1,5.75,clear sky
140,Cayenne,GF,4.9333,-52.3333,82.44,83,96,8.01,overcast clouds
141,Ipu,BR,-4.3222,-40.7108,81.73,62,61,3.56,moderate rain
142,Nuuk,GL,64.1835,-51.7216,36.21,93,90,20.71,light snow
143,Humpolec,CZ,49.5415,15.3593,48.56,83,19,19.15,few clouds
144,Matara,LK,5.9485,80.5353,77.04,89,91,4.88,overcast clouds
145,San Policarpo,PH,12.1791,125.5072,80.4,82,80,13.89,broken clouds
146,Plouzane,FR,48.3833,-4.6167,53.65,76,20,11.5,few clouds
147,Provideniya,RU,64.3833,-173.3,21.31,58,0,15.66,clear sky
148,Le Port,RE,-20.9373,55.2919,69.8,81,3,2.64,clear sky
149,Port Moresby,PG,-9.4431,147.1797,83.62,79,20,9.22,haze
150,Arraial Do Cabo,BR,-22.9661,-42.0278,70.81,93,100,20.07,moderate rain
151,Yar-Sale,RU,66.8333,70.8333,0.66,94,64,4.14,broken clouds
152,Siavonga,ZM,-16.5382,28.7088,82.63,43,2,3.87,clear sky
153,Sitka,US,57.0531,-135.33,53.49,37,75,11.5,broken clouds
154,Kuching,MY,1.55,110.3333,75.42,100,20,0.0,few clouds
155,Geraldton,AU,-28.7667,114.6,63.12,77,75,8.05,broken clouds
156,Lagoa,PT,39.05,-27.9833,69.19,89,100,3.96,overcast clouds
157,Sinnamary,GF,5.3833,-52.95,78.31,85,68,8.23,broken clouds
158,Clyde River,CA,70.4692,-68.5914,16.36,86,100,6.85,overcast clouds
159,Pevek,RU,69.7008,170.3133,-0.09,96,100,4.94,light snow
160,Sanchursk,RU,56.9413,47.2499,40.51,90,46,8.77,scattered clouds
161,Marawi,PH,7.9986,124.2928,64.65,96,89,1.45,overcast clouds
162,Labuhan,ID,-6.8844,112.2051,80.51,78,100,3.13,overcast clouds
163,Gat,IL,31.61,34.7642,83.08,37,62,15.48,broken clouds
164,Mabay,PH,6.0577,124.4666,77.25,82,70,4.83,broken clouds
165,Utiel,ES,39.5667,-1.2,68.22,85,100,24.83,overcast clouds
166,West Bay,KY,19.3667,-81.4167,81.07,76,75,1.99,broken clouds
167,Sokoni,TZ,-6.4333,39.55,79.66,79,36,11.21,scattered clouds
168,Nieuwpoort,BE,51.1244,2.7735,51.03,87,20,11.5,few clouds
169,Bridlington,GB,54.0831,-0.1919,50.9,80,79,34.36,broken clouds
170,Outjo,NA,-20.1167,16.15,67.64,18,28,11.12,scattered clouds
171,Wicklow,IE,53.0,-6.4167,42.58,95,100,24.99,overcast clouds
172,Emerald,AU,-23.5333,148.1667,73.35,61,86,18.5,overcast clouds
173,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,39,8.75,scattered clouds
174,Winchester,GB,51.0651,-1.3187,52.0,73,20,7.0,few clouds
175,Santa Maria,BR,-29.6842,-53.8069,69.42,88,59,5.44,broken clouds
176,Thompson,CA,55.7435,-97.8558,32.16,80,75,9.22,light shower snow
177,Vila,PT,42.0304,-8.1588,50.32,95,100,4.36,light rain
178,Puerto Madryn,AR,-42.7692,-65.0385,50.58,65,94,13.33,overcast clouds
179,Naberera,TZ,-4.2,36.9333,65.25,80,12,9.24,few clouds
180,Sandnessjoen,NO,66.0217,12.6316,48.18,93,40,11.5,scattered clouds
181,Lorengau,PG,-2.0226,147.2712,81.05,82,100,13.29,overcast clouds
182,Lensk,RU,60.7253,114.9278,20.79,95,95,3.27,overcast clouds
183,Brae,GB,60.3964,-1.353,48.11,89,100,22.46,overcast clouds
184,Aklavik,CA,68.2191,-135.0107,36.32,84,100,12.68,overcast clouds
185,Torbay,CA,47.6666,-52.7314,44.58,96,90,13.8,mist
186,Margate,GB,51.3813,1.3862,53.04,77,0,8.01,light rain
187,Lavrentiya,RU,65.5833,-171.0,13.06,81,5,12.06,clear sky
188,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,36,10.22,scattered clouds
189,Haines Junction,CA,60.7522,-137.5108,44.55,36,97,3.44,overcast clouds
190,Laguna,US,38.421,-121.4238,70.05,60,1,3.0,clear sky
191,Fare,PF,-16.7,-151.0167,78.37,74,97,15.17,light rain
192,Mwingi,KE,-0.9344,38.0601,70.84,67,81,3.62,broken clouds
193,Benguela,AO,-12.5763,13.4055,73.31,78,52,4.43,broken clouds
194,Namibe,AO,-15.1961,12.1522,66.72,68,57,8.43,broken clouds
195,Adrar,MR,20.5022,-10.0711,85.75,14,98,7.99,overcast clouds
196,Kaitangata,NZ,-46.2817,169.8464,57.06,46,77,8.43,broken clouds
197,Morondava,MG,-20.2833,44.2833,71.87,84,33,5.97,scattered clouds
198,Royan,FR,45.6285,-1.0281,58.98,71,48,15.3,scattered clouds
199,Naze,JP,28.3667,129.4833,67.12,80,96,14.9,overcast clouds
200,Estacion Coahuila,MX,32.1939,-115.0017,90.97,19,4,2.84,clear sky
201,Aitape,PG,-3.1374,142.3475,80.02,82,100,3.44,moderate rain
202,Leningradskiy,RU,69.3833,178.4167,-1.28,88,99,11.63,overcast clouds
203,Kavieng,PG,-2.5744,150.7967,84.76,71,95,17.27,light rain
204,Olafsvik,IS,64.8945,-23.7142,35.04,70,37,17.38,scattered clouds
205,Pasighat,IN,28.0667,95.3333,65.8,65,26,3.6,scattered clouds
206,Port Antonio,JM,18.18,-76.4612,84.11,82,27,9.89,scattered clouds
207,Ville-Marie,CA,47.3335,-79.433,50.0,68,40,5.66,scattered clouds
208,Poum,NC,-20.2333,164.0167,75.56,66,30,15.84,scattered clouds
209,Severo-Kurilsk,RU,50.6789,156.125,34.11,64,99,27.25,light rain
210,Kodiak,US,57.79,-152.4072,45.91,87,90,16.11,light rain
211,Tiksi,RU,71.6872,128.8694,16.38,79,100,12.46,overcast clouds
212,Barentu,ER,15.1139,37.5928,77.81,40,27,6.69,scattered clouds
213,Dikson,RU,73.5069,80.5464,6.53,93,100,11.83,overcast clouds
214,Cabo San Lucas,MX,22.8909,-109.9124,86.61,67,75,1.01,broken clouds
215,Gao,ML,16.6362,1.637,84.99,14,76,10.63,broken clouds
216,Kidal,ML,18.4411,1.4078,85.6,13,87,10.36,overcast clouds
217,Alta Floresta,BR,-9.8756,-56.0861,75.69,84,96,2.48,overcast clouds
218,Port Hardy,CA,50.6996,-127.4199,51.98,50,1,13.8,clear sky
219,Vaitape,PF,-16.5167,-151.75,78.73,71,99,15.52,overcast clouds
220,Ankara,TR,39.9199,32.8543,50.2,92,75,0.0,mist
221,Umm Lajj,SA,25.0213,37.2685,84.94,51,99,4.99,overcast clouds
222,Lincoln,US,40.8,-96.667,49.44,46,90,1.01,overcast clouds
223,Rafraf,TN,37.1904,10.1837,70.12,78,82,15.52,broken clouds
224,Mana,GF,5.6592,-53.7767,78.78,83,57,8.16,broken clouds
225,Ilulissat,GL,69.2167,-51.1,33.82,86,75,14.97,light shower snow
226,Makarov,RU,48.6333,142.8,29.97,74,14,6.11,few clouds
227,Tiarei,PF,-17.5333,-149.3333,82.42,73,63,14.23,broken clouds
228,Prainha,BR,-1.8,-53.48,82.24,66,81,2.1,broken clouds
229,Talnakh,RU,69.4865,88.3972,-11.51,99,88,5.93,overcast clouds
230,Mahebourg,MU,-20.4081,57.7,71.89,83,40,3.44,scattered clouds
231,Hilo,US,19.7297,-155.09,81.25,72,20,11.5,few clouds
232,Eagle Pass,US,28.7091,-100.4995,89.24,32,0,14.29,clear sky
233,Omboue,GA,-1.5746,9.2618,75.97,91,100,6.55,light rain
234,Ahipara,NZ,-35.1667,173.1667,60.67,67,68,12.17,broken clouds
235,Manaus,BR,-3.1019,-60.025,88.3,66,40,6.91,scattered clouds
236,Kajaani,FI,64.2273,27.7285,42.85,93,90,5.75,overcast clouds
237,Sarkand,KZ,45.41,79.9186,40.89,67,100,2.8,overcast clouds
